repo_base_url,repo_patch_urls
http://github.com/Illydth/wowraidmanager,['http://github.com/Illydth/wowraidmanager/commit/7dd6367ae85003dd5d715431b6ab695f2c2f200.patch']
http://github.com/inverse-inc/sogo,['http://github.com/inverse-inc/sogo/commit/64ce3c9c22fd9a28caabf11e76216cd53d0245a.patch']
http://github.com/mantisbt/mantisbt,"['http://github.com/mantisbt/mantisbt/commit/175d973105fe9f03a37ced537b742611631067e.patch', 'http://github.com/mantisbt/mantisbt/commit/e66ecc9.patch', 'http://github.com/mantisbt/mantisbt/commit/f39cf52.patch', 'http://github.com/mantisbt/mantisbt/commit/d95f070.patch', 'http://github.com/mantisbt/mantisbt/commit/ceafe6f0c679411b81368052633a63dd3ca06d9.patch', 'http://github.com/mantisbt/mantisbt/commit/0bff06e.patch', 'http://github.com/mantisbt/mantisbt/commit/a85b0b96c8ebe3e010d0d016cf88ab3c8bfc196.patch', 'http://github.com/mantisbt/mantisbt/commit/c9314184f541f0e3e3b91b3533104e50292c3e6.patch', 'http://github.com/mantisbt/mantisbt/commit/edc8142bb8ac0ac0df1a3824d78c15f4015d959.patch', 'http://github.com/mantisbt/mantisbt/commit/4efac90ed89a5c009108b641e2e95683791a16.patch', 'http://github.com/mantisbt/mantisbt/commit/8b5fa243dbf04344a55fe880135ec149fc1f439.patch', 'http://github.com/mantisbt/mantisbt/commit/c61dc631b4c37547a25e1306ed90aa09e9e1b83.patch', 'http://github.com/mantisbt/mantisbt/commit/5858a659efe12743b4360da11e9320c7f6ac6e8.patch', 'http://github.com/mantisbt/mantisbt/commit/8c6f4d8859785b67fb80ac65100ac5259ed923.patch', 'http://github.com/mantisbt/mantisbt/commit/221cf323f16a9738a5b27aaba94758f11281d8.patch', 'http://github.com/mantisbt/mantisbt/commit/99ffb0a.patch', 'http://github.com/mantisbt/mantisbt/commit/5f0b150.patch', 'http://github.com/mantisbt/mantisbt/commit/44e140e9f634266d0a2f3101a9f2809a9770213.patch']"
http://github.com/openstack/keystone,['http://github.com/openstack/keystone/commit/9d68b40cb9ea818c48152e6c712ff41586ad965.patch']
http://github.com/rails/rails,"['http://github.com/rails/rails/commit/7282ed863ca7e6f928bae9162c9a63a98775a1.patch', 'http://github.com/rails/rails/commit/099a98e9b7108dae3e0f78b207e0a7dc5913bd.patch']"
http://github.com/rubyspec/rubyspec,['http://github.com/rubyspec/rubyspec/commit/95c0abbe07bf350f83d2454eb080b0bd315d59.patch']
http://github.com/xzilla/phppgadmin,"['http://github.com/xzilla/phppgadmin/commit/a4531f0f3345f92c721aaeae0226fea0b634aed.patch', 'http://github.com/xzilla/phppgadmin/commit/b62ff9fa11f0dbed1a28568671eb31d45a5363d.patch']"
https://github.com/01-Scripts/01-Artikelsystem,['https://github.com/01-Scripts/01-Artikelsystem/commit/ae849b347a58c2cb1be38d04bbe56fc883d5d8.patch']
https://github.com/02strich/pykerberos,['https://github.com/02strich/pykerberos/commit/02d13860b25fab58e739f0e000bed0067b7c6f9.patch']
https://github.com/1j01/mind-map,['https://github.com/1j01/mind-map/commit/9617e6084dfeccd92079ab4d7f439300a4b243.patch']
https://github.com/2071174A/vinylmap,['https://github.com/2071174A/vinylmap/commit/b07b79a1e92cc62574ba0492cce000ef4a7bd2.patch']
https://github.com/3rd-Eden/useragent,['https://github.com/3rd-Eden/useragent/commit/b18cf7c2a13c994ea8d6d0d132feef4eb8193c3.patch']
https://github.com/ADOdb/ADOdb,"['https://github.com/ADOdb/ADOdb/commit/bd9ec.patch', 'https://github.com/ADOdb/ADOdb/commit/292e4a9433fe96f02cccc2313a7198efee84421.patch', 'https://github.com/ADOdb/ADOdb/commit/bd9eca9f40220f9918ec3cc7ae9ef422b3e448.patch']"
https://github.com/ASaiAnudeep/deep-override,['https://github.com/ASaiAnudeep/deep-override/commit/2aced17651fb684959a6e04b1465a8329b3d52.patch']
https://github.com/Admidio/admidio,['https://github.com/Admidio/admidio/commit/ea5d6f114b151ed11ec0ad7cb47bd729e77a874.patch']
https://github.com/AdoptOpenJDK/IcedTea-Web,"['https://github.com/AdoptOpenJDK/IcedTea-Web/commit/7958049eedc213be1ad4ae80ee312b167ddb320.patch', 'https://github.com/AdoptOpenJDK/IcedTea-Web/commit/7958049eedc213be1ad4ae80ee312b167ddb32.patch', 'https://github.com/AdoptOpenJDK/IcedTea-Web/commit/f9c2cf7fd24415ba2bb2619b69259035338ee5.patch']"
https://github.com/AhmedAdelFahim/express-xss-sanitizer,['https://github.com/AhmedAdelFahim/express-xss-sanitizer/commit/3bf8aaaf4dbb1c209dcb8d87a82711a54c1ab3.patch']
https://github.com/AndyTaylorTweet/Pi-Star_DV_Dash,"['https://github.com/AndyTaylorTweet/Pi-Star_DV_Dash/commit/1e46533f4051648bc40478d99201f19241bbaa.patch', 'https://github.com/AndyTaylorTweet/Pi-Star_DV_Dash/commit/0ad7d00210fc2c0eb7073e5ed429ac265ccfeb.patch']"
https://github.com/Arno0x/TwoFactorAuth,['https://github.com/Arno0x/TwoFactorAuth/commit/8549ad3cf197095f783643e41333586d6a4d0e.patch']
https://github.com/Availity/availity-angular,['https://github.com/Availity/availity-angular/commit/fd8ecb8eda2b3c8118d7745b60a61cf8a4407a9.patch']
https://github.com/Azure/setup-kubectl,['https://github.com/Azure/setup-kubectl/commit/d449d75495d2b9d1463555bb00ca3dca77a42a.patch']
https://github.com/BlackCatDevelopment/BlackCatCMS,['https://github.com/BlackCatDevelopment/BlackCatCMS/commit/a817755828cd0bfd4b87b0eb5cec59ffe57d3c3.patch']
https://github.com/BlogoText/blogotext,"['https://github.com/BlogoText/blogotext/commit/101dc1d37010a1d877d6961ed2f32d089c708e9.patch', 'https://github.com/BlogoText/blogotext/commit/7c6f74e43008b2397160775696c67acbab87911.patch']"
https://github.com/CDCgov/MicrobeTrace,['https://github.com/CDCgov/MicrobeTrace/commit/3142b76c082bd83e1506c9840fbe0b6da382e68.patch']
https://github.com/CESNET/theme-cesnet,['https://github.com/CESNET/theme-cesnet/commit/2b857f2233ce5083b4d5bc9bfc4152f933c3e4.patch']
